TransactionID,SaleDate,ItemTitle,SalePrice,SalesChannel,Country,Quantity,Brand,Category,SaleYear,SaleMonth
2120,2024-05-02,NEW Chanel Slim Bandeau Twilly Soie/Noir,399.0,Organic,United States,1,Chanel,Other,2024,May
2119,2024-04-29,NEW Hermes Chale 140 Cashmere Shawl Zouaves Et Dragons Marine Clair/Naturel/Vert,990.0,Organic,United States,1,Hermès,Other,2024,April
2118,2024-04-28,NEW Hermes Chale 140 Cashmere Shawl Zouaves Et Dragons Marine Clair/Naturel/Vert,890.0,Organic,United States,1,Hermès,Other,2024,April
2117,2024-04-26,"Chanel CC 23B Gold, Pink, Pearly White, & Crystal Necklace BNIB $1300 Retail",1099.0,Organic,United States,1,Chanel,Jewelry,2024,April
2116,2024-04-26,Brand New GOYARD St Louis PM Tote Bag in Yellow Goyardine,1999.0,Organic,United States,1,Goyard,Handbag,2024,April
2115,2024-04-25,Hermes Shirt Dress in color Blanc/white Cotton Twill Size 36 NEW 60% OFF RETAIL,882.0,Organic,United States,1,Hermès,Other,2024,April
2114,2024-04-25,BNIB Hermes Cavalier Enformes Cashmere Shawl 140CM SR/Naturel/Rose Bonbon SS24,999.0,Organic,United States,1,Hermès,Other,2024,April
2113,2024-04-21,Chanel Viscose Cardigan 24P CC Logo In Black Size 36,3799.0,Organic,United States,1,Chanel,Other,2024,April
2112,2024-04-20,NEW HERMES BRIDE A BRAC PM Case Feu Orange COLOR Small Model Pouch / Vanity,855.0,Organic,United States,1,Hermès,Other,2024,April
2111,2024-04-19,Hermes 2012 Etain Swift Leather Kelly Cut with Palladium Hardware,8998.0,Organic,United States,1,Hermès,Handbag,2024,April
2110,2024-04-17,Chanel CC Pearl Gold Hardware with Crystals for Glasses Chain long necklace,1299.0,Organic,United States,1,Chanel,Jewelry,2024,April
2109,2024-04-16,Chanel 24S Black Lambskin Leather Mary Janes Flats Logo With Strap Size 38 BNIB,1999.0,Organic,United States,1,Chanel,Other,2024,April
